,precision,recall,f1-score,support
A,1.0,1.0,1.0,3.0
B1,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
B12,0.9326923076923077,0.9509803921568627,0.941747572815534,102.0
B2,0.0,0.0,0.0,0.0
B6,0.6842105263157895,0.9285714285714286,0.7878787878787878,14.0
C,1.0,0.9807692307692307,0.9902912621359223,52.0
D,0.9883720930232558,0.9444444444444444,0.9659090909090909,90.0
E,0.0,0.0,0.0,0.0
Folate,0.0,0.0,0.0,0.0
micro avg,0.9350180505415162,0.9487179487179487,0.9418181818181818,273.0
macro avg,0.6042898067071873,0.6264554254750333,0.6132400052302965,273.0
weighted avg,0.9474983557697049,0.9487179487179487,0.9469432940306728,273.0
samples avg,0.9498644986449865,0.959349593495935,0.9483739837398374,273.0
